"DateTime","Aave - Price","Aave - Market Cap","Aave - Fully Diluted Market Cap","Aave - Fees","Aave - Circulating Supply"
"2022-09-13 00:00:00",83.154860333,1172496257.00694,1330477765.328,1371960.700184718,14092876.553771503
"2022-09-14 00:00:00",83.762543594,1176717878.96546,1340200697.504,2311630.713160701,14093188.255454063
"2022-09-15 00:00:00",78.45473102,1109156748.96821,1255275696.32,1748549.146875838,14097002.438619737
"2022-09-16 00:00:00",79.109369147,1115457058.8973,1265749906.352,374673.94339451916,14097251.335792355
"2022-09-17 00:00:00",81.625284074,1149588059.06697,1306004545.184,289616.5775696776,14098083.062444555
"2022-09-18 00:00:00",73.192552601,1033310318.58415,1171080841.616,387259.74483246333,14098399.69071656
"2022-09-19 00:00:00",76.466682854,1078723093.7687,1223466925.664,259866.38415183593,14098893.679608922
"2022-09-20 00:00:00",74.054650539,1046383776.64417,1184874408.6239998,294324.0696974848,14099245.176517285
"2022-09-21 00:00:00",71.972902803,1014860344.86319,1151566444.848,311359.73575931974,14099541.128867626
"2022-09-22 00:00:00",76.949886706,1084032377.32771,1231198187.296,242153.63737635055,14100475.203827664
"2022-09-23 00:00:00",77.205462476,1091475081.53133,1235287399.616,267244.72671924124,14100882.8413378
"2022-09-24 00:00:00",75.054764485,1059519409.30941,1200876231.7600002,258778.46087045522,14101022.454604112
"2022-09-25 00:00:00",73.857866244,1038167493.21711,1181725859.9039998,265255.7119750672,14101310.99122595
"2022-09-26 00:00:00",76.162564743,1072389645.58773,1218601035.888,257360.5803179587,14101531.66669481
"2022-09-27 00:00:00",76.758879225,1084306596.20019,1228142067.6,260867.32336643807,14102381.34045054
"2022-09-28 00:00:00",77.036220286,1085742734.01801,1232579524.576,252457.84586545822,14102505.295924881
"2022-09-29 00:00:00",76.823796135,1083423883.36038,1229180738.1599998,232491.5946838303,14102713.269397179
"2022-09-30 00:00:00",74.590222658,1052046111.31207,1193443562.528,231782.12172636203,14113568.940651935
"2022-10-01 00:00:00",74.516976548,1050640793.08347,1192271624.7680001,227864.1996518293,14114667.751627188
"2022-10-02 00:00:00",72.915882899,1032677438.63841,1166654126.3839998,225521.6673618105,14114843.381911468
"2022-10-03 00:00:00",75.763346988,1072921339.099,1212213551.8079998,222626.68063272443,14114954.896355953
"2022-10-04 00:00:00",78.988533385,1115159715.39916,1263816534.1599998,235934.23745772915,14116191.715970082
"2022-10-05 00:00:00",78.723819038,1110848271.63952,1259581104.608,236395.1029302932,14116550.575388381
"2022-10-06 00:00:00",77.419982216,1093712830.3974,1238719715.4559999,239722.64217891733,14118104.941981731
"2022-10-07 00:00:00",75.494230691,1065132521.59815,1207907691.056,246073.7369089987,14118237.453174336
"2022-10-08 00:00:00",74.636344285,1054170546.16862,1194181508.5600002,212536.46296959644,14118315.117626837
"2022-10-09 00:00:00",75.456905265,1063225289.05213,1207310484.24,237163.23190990073,14120257.621456496
"2022-10-10 00:00:00",73.912298141,1044927540.38429,1182596770.2559998,236688.54673675564,14120387.281688869
"2022-10-11 00:00:00",71.420611033,1007301959.19298,1142729776.528,206152.9337816671,14120454.6814486
"2022-10-12 00:00:00",71.586626074,1011774521.76669,1145386017.184,229824.05350434972,14120563.42240737
"2022-10-13 00:00:00",71.067217981,1003748391.28456,1137075487.696,252976.98801781813,14121197.478243133
"2022-10-14 00:00:00",73.020782742,1029440269.58101,1168332523.872,203305.81250621696,14121339.452798182
"2022-10-15 00:00:00",71.926419895,1015945320.3102,1150822718.32,232777.6997403254,14121666.073243715
"2022-10-16 00:00:00",75.875202431,1070207622.64532,1214003238.8960001,222427.0004264456,14122059.457708815
"2022-10-17 00:00:00",79.116054653,1117880891.57848,1265856874.4480002,210099.1267299217,14127732.846154334
"2022-10-18 00:00:00",82.633434089,1167727086.06115,1322134945.424,198863.45131116276,14128852.298752245
"2022-10-19 00:00:00",82.696241912,1168514298.21121,1323139870.592,217266.40863036938,14128946.480202556
"2022-10-20 00:00:00",80.803908045,1142868950.94316,1292862528.72,206804.16807514292,14129139.206894092
"2022-10-21 00:00:00",82.024653405,1157357246.11184,1312394454.48,196157.08111119497,14129198.380830016
"2022-10-22 00:00:00",82.064678849,1159238841.73642,1313034861.584,199967.55768820067,14129510.149039987
"2022-10-23 00:00:00",88.979864929,1255485570.8608,1423677838.864,226707.19602724898,14130720.540612157
"2022-10-24 00:00:00",84.939609292,1197964052.57064,1359033748.672,206654.33775409107,14133093.783192713
"2022-10-25 00:00:00",82.276745973,1160984588.2174,1316427935.568,256466.06253675968,14133131.357832436
"2022-10-26 00:00:00",83.543283446,1180373462.43775,1336692535.1360002,231301.12902310683,14133427.324818075
"2022-10-27 00:00:00",81.711014613,1155431029.37535,1307376233.808,244054.70229733054,14133740.3587303
"2022-10-28 00:00:00",84.127164754,1189839460.07005,1346034636.0640001,264903.2203458353,14134041.767177653
"2022-10-29 00:00:00",85.261128291,1203472933.20004,1364178052.6560001,266349.040782609,14135243.501231534
"2022-10-30 00:00:00",83.88080376,1182474973.2301,1342092860.16,266376.3111938062,14135602.227257416
"2022-10-31 00:00:00",83.9264017,1187829605.83802,1342822427.2,214677.02806239488,14155565.254742492
"2022-11-01 00:00:00",84.348326623,1194673088.0575,1349573225.9680002,203063.97891753697,14156102.162142482
"2022-11-02 00:00:00",80.407588863,1138714482.38528,1286521421.808,224651.90677945,14156158.471611377
"2022-11-03 00:00:00",83.720875827,1182932032.22039,1339534013.232,176511.07294280652,14156544.830526475
"2022-11-04 00:00:00",94.513688042,1339047443.79449,1512219008.672,242998.33381991793,14156994.130085487
"2022-11-05 00:00:00",96.203708091,1364735360.13405,1539259329.4559999,190508.42890729086,14164048.501042273
"2022-11-06 00:00:00",86.96848223,1233205780.1595,1391495715.68,216209.14110717038,14164200.189252788
"2022-11-07 00:00:00",87.434176278,1238246640.36214,1398946820.448,199481.67398810043,14164603.838071296
"2022-11-08 00:00:00",72.28477304,1028717493.24943,1156556368.64,548228.4991462571,14165244.890255468
"2022-11-09 00:00:00",57.680794711,816584863.113255,922892715.3759999,1290843.1091958126,14165851.813295752
"2022-11-10 00:00:00",68.106177425,964259746.582829,1089698838.8,327584.30884361453,14166014.40613354
"2022-11-11 00:00:00",64.141551106,902250258.910045,1026264817.6959999,250423.6503686838,14166229.220409464
"2022-11-12 00:00:00",57.792258172,816860932.224568,924676130.752,231748.19722149763,14166340.622138264
"2022-11-13 00:00:00",56.850508713,800786184.3832,909608139.4080001,218807.69496719958,14167062.628276438
"2022-11-14 00:00:00",58.980511382,837662149.354997,943688182.1120001,171989.7694397323,14167269.24394428
"2022-11-15 00:00:00",61.1221964,865697101.698448,977955142.4,183705.18779431726,14167403.214512007
"2022-11-16 00:00:00",58.524297188,827088058.338402,936388755.008,161496.4534381864,14168257.63524934
"2022-11-17 00:00:00",58.694661472,832051305.955461,939114583.552,189545.70244936855,14168367.35473413
"2022-11-18 00:00:00",58.403500378,828028832.584248,934456006.048,173022.75182638803,14174113.967312979
"2022-11-19 00:00:00",58.683941194,831736778.559452,938943059.104,178292.97921200146,14174246.551394815
"2022-11-20 00:00:00",56.260762283,798339556.220452,900172196.528,203823.0621084194,14174761.497207668
"2022-11-21 00:00:00",56.088564201,793150895.12419,897417027.216,204660.31933310482,14175283.62591147
"2022-11-22 00:00:00",57.258978297,815185294.666294,916143652.752,2997087.936436122,14177583.10101791
"2022-11-23 00:00:00",58.46381884,830974604.844767,935421101.44,285673.4050169454,14179345.48459192
"2022-11-24 00:00:00",58.215455296,826199001.958406,931447284.7360001,230286.74520830432,14179563.971678285
"2022-11-25 00:00:00",59.11031372,838919257.733441,945765019.52,236546.02896428,14179667.692646686
"2022-11-26 00:00:00",61.730625155,874867161.984037,987690002.48,181678.45538320838,14180950.709638083
"2022-11-27 00:00:00",61.674544459,875730725.623947,986792711.3440001,184862.12797762305,14181676.084371405
"2022-11-28 00:00:00",60.231475594,854443971.955599,963703609.5040001,162495.69255181027,14183520.695464745
"2022-11-29 00:00:00",61.650772018,874909504.952848,986412352.288,152830.24751763893,14183665.600012055
"2022-11-30 00:00:00",65.516413981,931441058.438527,1048262623.696,178370.45466892677,14190703.648861589
"2022-12-01 00:00:00",63.58906442,901913291.470934,1017425030.72,160419.51901903297,14191029.590743963
"2022-12-02 00:00:00",65.527823564,929422684.29361,1048445177.024,178762.74095082618,14191163.04217138
"2022-12-03 00:00:00",62.874586942,895224369.36855,1005993391.072,165184.98873500671,14192108.362429278
"2022-12-04 00:00:00",64.518508311,915060363.780186,1032296132.9760001,146810.36591083254,14193007.263667548
"2022-12-05 00:00:00",64.355276943,914757814.067762,1029684431.088,158923.8777420788,14198681.899733944
"2022-12-06 00:00:00",63.923049109,907456368.507639,1022768785.744,162674.56413886722,14198995.526775556
"2022-12-07 00:00:00",61.407261487,872479838.050353,982516183.7919999,161010.8316656146,14199399.588870192
"2022-12-08 00:00:00",62.850076808,892619957.112852,1005601228.928,166830.74003148332,14199667.905445654
"2022-12-09 00:00:00",61.505260965,873300591.628788,984084175.4399999,152569.1528249388,14199781.290794464
"2022-12-10 00:00:00",61.276171027,869945683.262357,980418736.4319999,163324.6367004635,14207166.09933798
"2022-12-11 00:00:00",59.754354292,847592333.269835,956069668.672,168839.84167125262,14207533.556791062
"2022-12-12 00:00:00",60.076361867,853942427.354909,961221789.8720001,170546.70169909735,14207956.029966107
"2022-12-13 00:00:00",61.846512104,879824777.881402,989544193.664,205247.14854342106,14208049.401307326
"2022-12-14 00:00:00",62.63689598,890657047.786728,1002190335.68,165882.61101947288,14208816.050217725
"2022-12-15 00:00:00",60.72768245,863803697.716455,971642919.2,156015.88897937545,14208912.110751182
"2022-12-16 00:00:00",54.790009604,776601847.431774,876640153.6639999,222570.35547195844,14209104.285346262
"2022-12-17 00:00:00",55.718588963,790982009.445126,891497423.408,266036.1199302763,14210486.717367172
"2022-12-18 00:00:00",55.983334551,795502376.429894,895733352.816,184413.5420522644,14205533.36257444
"2022-12-19 00:00:00",53.685361452,763906808.552282,858965783.232,183014.1435409808,14205662.470951345
"2022-12-20 00:00:00",55.768439015,792385399.938398,892295024.24,172910.41429084787,14206144.617531614
"2022-12-21 00:00:00",55.960229582,794493147.005964,895363673.3119999,183890.75056015435,14206743.977705268
"2022-12-22 00:00:00",55.640676495,790418453.029837,890250823.92,174105.96873340802,14207427.983450808
"2022-12-23 00:00:00",54.560110109,774313173.190847,872961761.744,167941.0358832411,14207710.63793082
"2022-12-24 00:00:00",54.442897085,774653910.247449,871086353.36,170510.09030232197,14207844.984399613
"2022-12-25 00:00:00",54.454292711,773590301.13501,871268683.376,181489.65448299088,14207956.937469155
"2022-12-26 00:00:00",55.963729258,794852913.500771,895419668.128,170494.26654381113,14208211.174970867
"2022-12-27 00:00:00",57.396563413,814976746.115159,918345014.608,160272.4551978953,14208811.681731686
"2022-12-28 00:00:00",53.722134776,763161982.372208,859554156.416,174816.30197749138,14209000.93342292
"2022-12-29 00:00:00",54.504891629,775425353.044831,872078266.064,164174.36046456342,14210571.824838582
"2022-12-30 00:00:00",52.571131445,750772235.805169,841138103.12,200163.84484647668,14212253.775442544
"2022-12-31 00:00:00",51.930959743,738478432.256311,830895355.888,170318.85691776653,14223623.506054848
"2023-01-01 00:00:00",51.989493765,739535655.857858,831831900.24,165255.64217803435,14223920.857812865
"2023-01-02 00:00:00",53.12893587,757374704.343482,850062973.92,219317.45622426056,14225021.561738146
"2023-01-03 00:00:00",53.051788007,754392167.025937,848828608.112,156052.56178395884,14225260.735263163
"2023-01-04 00:00:00",56.831429125,807998606.6823,909302866,432481.1652315439,14225642.465963403
"2023-01-05 00:00:00",55.425752767,788383376.98534,886812044.272,160476.67529945873,14225793.463954242
"2023-01-06 00:00:00",56.465181035,803054370.476431,903442896.5600001,165875.67652905118,14226052.010723803
"2023-01-07 00:00:00",55.997118488,795816048.991299,895953895.808,163985.91329463787,14226168.957451997
"2023-01-08 00:00:00",59.224168002,843189687.36318,947586688.032,172932.61327588,14226322.728724565
"2023-01-09 00:00:00",61.243838292,872708604.683983,979901412.672,151716.02815397177,14226691.873780902
"2023-01-10 00:00:00",61.818025652,878728742.976244,989088410.432,173524.51019412113,14226967.185172305
"2023-01-11 00:00:00",64.523428441,914733928.669999,1032374855.0559999,224095.24635259394,14228672.922950724
"2023-01-12 00:00:00",67.944536381,967031062.289995,1087112582.0960002,281356.00491176744,14228881.64505467
"2023-01-13 00:00:00",71.240200202,1013110328.91926,1139843203.2319999,180941.84104279152,14229817.319130147
"2023-01-14 00:00:00",75.947964302,1080202133.89833,1215167428.832,240160.8517152634,14230341.945932064
"2023-01-15 00:00:00",78.999329619,1122095928.90138,1263989273.9039998,225820.85785060347,14231814.613566952
"2023-01-16 00:00:00",80.438959011,1143086600.79213,1287023344.1759999,170488.36934900397,14232751.824807204
"2023-01-17 00:00:00",85.569282979,1214495737.81395,1369108527.6639998,188863.570690867,14233479.515789598
"2023-01-18 00:00:00",82.401007525,1166119391.361,1318416120.3999999,202740.618546825,14234371.511371164
"2023-01-19 00:00:00",81.353669502,1159557025.94804,1301658712.032,171098.73836412013,14234511.839328965
"2023-01-20 00:00:00",87.758761864,1247119424.16549,1404140189.824,211351.25010196402,14235550.220862942
"2023-01-21 00:00:00",84.497417877,1202526883.68146,1351958686.032,165544.121157096,14235728.14347145
"2023-01-22 00:00:00",85.546401157,1219104014.46377,1368742418.512,235188.60298670648,14236538.069758797
"2023-01-23 00:00:00",86.876812588,1236167719.77524,1390029001.4080002,176352.5028186514,14236673.73484297
"2023-01-24 00:00:00",79.893759168,1136832386.40672,1278300146.688,194095.91606069793,14237176.313762065
"2023-01-25 00:00:00",86.143789925,1225389859.92419,1378300638.8,172046.10758523116,14237351.438745346
"2023-01-26 00:00:00",88.89652638,1266784905.55063,1422344422.08,183205.53591705507,14242321.133560771
"2023-01-27 00:00:00",87.246322201,1242782100.92315,1395941155.216,195922.081788686,14243729.49813499
"2023-01-28 00:00:00",84.072528563,1197690265.73738,1345160457.0080001,174775.7045509149,14243946.146283275
"2023-01-29 00:00:00",87.886371513,1250747878.76856,1406181944.208,189207.1963180838,14245021.728710331
"2023-01-30 00:00:00",81.154112183,1154133048.39161,1298465794.928,184504.03615837186,14246506.05332645
"2023-01-31 00:00:00",83.173341346,1184852518.20587,1330773461.536,179556.2914023405,14258192.224689925
"2023-02-01 00:00:00",88.30082982,1258331363.18754,1412813277.1200001,195897.76451513788,14259060.523667235
"2023-02-02 00:00:00",88.629023341,1265652782.57727,1418064373.456,206493.17572686414,14259458.19568391
"2023-02-03 00:00:00",90.793798533,1294488762.0955,1452700776.528,212782.4095019347,14259953.542430367
"2023-02-04 00:00:00",88.794039402,1267144666.61243,1420704630.432,198427.231755129,14260551.539358685
"2023-02-05 00:00:00",85.704575548,1222525786.73548,1371273208.768,198472.23507943496,14261834.418935299
"2023-02-06 00:00:00",84.260074973,1200733251.04798,1348161199.568,192188.29959829577,14262748.042578554
"2023-02-07 00:00:00",89.050625986,1267714978.44533,1424810015.776,35521.687140915026,14262921.131723713
"2023-02-08 00:00:00",86.992473761,1240332873.42371,1391879580.1759999,36995.27016622388,14263067.27235375
"2023-02-09 00:00:00",77.706485768,1108129536.90746,1243303772.2879999,75430.70552337279,14263295.570657335
"2023-02-10 00:00:00",78.762118373,1125806244.52216,1260193893.9680002,32809.106088105946,14263702.321442837
"2023-02-11 00:00:00",79.460196363,1132229577.27101,1271363141.8079998,30827.235544158957,14263867.42913276
"2023-02-12 00:00:00",77.341875727,1104582763.94091,1237470011.632,33656.402411811505,14265553.470613834
"2023-02-13 00:00:00",82.497565138,1176415473.12164,1319961042.208,32961.829663662764,14266548.78518983
"2023-02-14 00:00:00",83.104095584,1187809181.03845,1329665529.344,38020.26206434663,14267038.32201067
"2023-02-15 00:00:00",89.423282651,1269991745.00029,1430772522.416,45675.086857559174,14267290.64876659
"2023-02-16 00:00:00",84.489812362,1207327061.61568,1351836997.7919998,79975.53057672337,14267473.689284839
"2023-02-17 00:00:00",86.618249295,1235912920.79081,1385891988.72,34159.57035771952,14267652.470122866
"2023-02-18 00:00:00",91.067784514,1300011194.10982,1457084552.224,33514.777561518575,14268564.975009268
"2023-02-19 00:00:00",90.26869583,1294008986.13581,1444299133.28,35676.93239703108,14268743.679715334
"2023-02-20 00:00:00",91.732523116,1309824099.96151,1467720369.856,37459.76551822813,14270247.449186305
"2023-02-21 00:00:00",87.536927126,1247068738.3713,1400590834.016,38424.40920757817,14270775.30116386
"2023-02-22 00:00:00",84.93008625,1214080782.08813,1358881380,34594.3059086117,14271065.639630688
"2023-02-23 00:00:00",85.619005143,1218683189.20004,1369904082.2879999,41094.95236628343,14271240.63189517
"2023-02-24 00:00:00",81.47626874,1162849297.52498,1303620299.84,49870.87198844792,14271484.86753033
"2023-02-25 00:00:00",79.845987697,1138763553.59102,1277535803.152,35526.35310399082,14272614.031594934
"2023-02-26 00:00:00",82.139567423,1172390000.88366,1314233078.7680001,40914.66475927402,14273159.268252661
"2023-02-27 00:00:00",80.21294659,1146654376.95851,1283407145.44,36202.32532613358,14274206.247517236
