"DateTime","Morpho - Price","Morpho - Market Cap","Morpho - Fully Diluted Market Cap","Morpho - Fees","Morpho - Circulating Supply"
"2025-01-27 00:00:00",3.073744827,666677300.610419,3073744827,629691,217052540.656959
"2025-01-28 00:00:00",3.105797429,672341263.985563,3105797429,515689,217083617.524331
"2025-01-29 00:00:00",3.137590491,682457943.797481,3137590491,526497,217091815.535408
"2025-01-30 00:00:00",3.204031201,697110586.081582,3204031201,559424,217109677.574984
"2025-01-31 00:00:00",3.135249401,682024227.414788,3135249401,595705,217639925.90218
"2025-02-01 00:00:00",2.759398599,601007019.077285,2759398599,678419,217647400.136381
"2025-02-02 00:00:00",2.330030035,507303397.107364,2330030035,624735,217647576.131982
"2025-02-03 00:00:00",2.378891434,518058095.735468,2378891434,877383,217706546.414743
"2025-02-04 00:00:00",2.064886834,448755033.405191,2064886834.0000002,588626,217813693.449236
"2025-02-05 00:00:00",1.937377461,420846497.930907,1937377461,616930,217815002.916069
"2025-02-06 00:00:00",1.848702405,402458229.237878,1848702405,552927,217824433.737491
"2025-02-07 00:00:00",1.773554839,386270868.018624,1773554839,496913,217824910.166394
"2025-02-08 00:00:00",2.036824733,444976260.205296,2036824733,582238,217825164.239282
"2025-02-09 00:00:00",2.034892593,442589688.314122,2034892593,501394,217826419.29119
"2025-02-10 00:00:00",2.000710374,448439982.405394,2000710374,544369,224113683.663357
"2025-02-11 00:00:00",1.91133374,428278347.701529,1911333740,491003,224155739.111272
"2025-02-12 00:00:00",2.002444419,448369260.702502,2002444419.0000002,478387,224158263.390656
"2025-02-13 00:00:00",2.048323263,459083532.276526,2048323263,489861,224184039.098253
"2025-02-14 00:00:00",2.19549089,493105273.570599,2195490890,470398,224187430.560796
"2025-02-15 00:00:00",2.17425386,487405799.876049,2174253860,457685,224220734.994147
"2025-02-16 00:00:00",2.119262611,475554360.634201,2119262611,460136,224221038.316127
"2025-02-17 00:00:00",2.144125756,481204793.449299,2144125756.0000002,487914,224489668.262962
"2025-02-18 00:00:00",2.019426147,453299134.110391,2019426147,430412,224490885.385337
"2025-02-19 00:00:00",2.230149351,501379921.803504,2230149351,476488,224824017.202784
"2025-02-20 00:00:00",2.358968089,530550792.941949,2358968089,497596,224831669.593312
"2025-02-21 00:00:00",2.133824687,479892749.17185,2133824687.0000002,470922,224963586.796579
"2025-02-22 00:00:00",2.236596897,503094983.128392,2236596897,449602,224965444.365095
"2025-02-23 00:00:00",2.214485904,497796467.667997,2214485904,443950,224965813.208237
"2025-02-24 00:00:00",1.906105376,428870675.266628,1906105376,543091,224970648.267418
"2025-02-25 00:00:00",1.973668393,444270902.862279,1973668393,760277,224970898.233101
